제품명,효능
마더스콜드연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
마더스클로닉신리신정250mg(클로닉신리시네이트)(수출용),": 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증"
마데카솔케어연고,"네오마이신 감수성 세균에 의해 2차 감염된 피부질환의 초기 치료 : 작은 열상, 찰과상, 봉합된 상처, 표재성 2도 이하의 화상"
마락틴정(수출명:NewmatinTabBMg-B6Tablet)(수출용),○ 마그네슘 결핍으로 인한 근육 경련
마레오키즈시럽,멀미에 의한 어지러움⋅구토⋅두통의 예방 및 완화
마로겔정500밀리그람(수산화마그네슘),"1) 다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다 2) 변비증"
마로씬정,"ㆍ변비 ㆍ변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
마로엘정,"변비, 변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
마리부틴정150mg(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아,위·십이지장염, 위·십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
마메이드정,음식물 섭취 감소를 통한 체중감량의 보조요법 ☆ 국내임상시험결과 추가제출(의약품 재평가 진행 중)
마메틴정100밀리그램(트리메부틴말레산염)(수출용),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사), 동요자극, 수면장애"
마미센스정,○ 철 결핍성 빈혈의 예방 및 치료 ○ 다음경우의 비타민 B6의 보급 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하 시
마미송에프크림,"습진, 피부염, 땀띠, 옻 등에 의한 피부염, 가려움, 벌레물린데, 두드러기"
마미즈시럽,멀미에 의한 어지러움.구토.두통의 예방 및 완화
마민에스정,"변비, 변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
마벤포민연질캡슐,"다음 경우의 비타민 E, B1, B6의 보급 - 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같습니다. •비타민E(토코페롤아세테이트) : 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) • 비타민B1(티아민염산염) : 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 각기, 눈의 피로 • 비타민B6(피리독신염산염) : 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 • 마그네슘결핍으로 인한 근육경련"
마부탄정(트리메부틴말레산염)(수출용),"1) 식도역류 및 열공헤르니아,위ㆍ십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상(복통(배아픔), 소화불량, 구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애(변비, 설사), 동요자극, 수면장애"
마비스액(수출용),"마그네슘 결핍에 의한 다음 증상 ; 경련, 근무력증, 하지이상감각증"
마빈정(트리메부틴말레산염)(수출용),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사), 동요자극, 수면장애"
마스원큐페이스트(트리암시놀론아세토니드),"다음 질환에 의한 염증의 완화 : 만성 박리(벗겨짐)성 치은염(잇몸염), 미란(짓무름) 또는 궤양을 수반하는 난치성 구내염(입안염) 및 설염(혀염)"
마스질정(클레마스틴푸마르산염),"(경구 : 정제, 시럽제) 알레르기성 비염, 고초열, 두드러기, 소양성 피부질환(소양증, 습진ㆍ피부염), 맥관신경성 부종, 코감기에 의한 재채기ㆍ콧물ㆍ기침 (주사제) 아나필락시성 쇽, 맥관신경성 부종"
마스클린페이스트(트리암시놀론아세토니드),"다음 질환에 의환 염증의 완화 : 만성 박리(벗겨짐)성 치은염(잇몸염), 미란(짓무름) 또는 궤양을 수반하는 난치성 구내염(입안염) 및 설염(혀염)"
마스터치크림,재발성 구순포진의 초기 치료
마이녹스액5%(미녹시딜)(수출용),(겔제)(액제) · 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료
마이녹실겔3%(미녹시딜),남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료
마이녹실겔5%(미녹시딜),"· 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료(2 %, 3 %에 한함) · 남성형 탈모증(안드로젠탈모증)의 치료(5 %에 한함)"
마이녹실액3%(미녹시딜),"· 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료(2 %, 3 %에 한함) · 남성형 탈모증(안드로젠탈모증)의 치료(5 %에 한함)"
마이녹실액5%(미녹시딜),"· 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료(2 %, 3 %에 한함) · 남성형 탈모증(안드로젠탈모증)의 치료(5 %에 한함)"
마이녹실액6.5%(미녹시딜)(수출용),남성형 탈모증(남성에 한함)
마이녹실폼에어로솔5%(미녹시딜),남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료
마이다정,"변비, 변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
마이다제정(수출용),"소화불량,식욕감퇴(식욕부진),과식,식체(위체),소화촉진,소화불량으로 인한 위부팽만감"
마이드롭점안액(폴리데옥시리보뉴클레오티드나트륨)(1회용),"1) 영양부족으로 인한 각막, 결막의 궤양성 질환에 영양공급 2) 콘택트렌즈 착용 등으로 인한 각막, 결막의 미세손상"
마이딜5%폼에어로졸(미녹시딜),남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료
마이딜액3%(미녹시딜),"· 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료(2 %, 3 %에 한함) · 남성형 탈모증(안드로젠탈모증)의 치료(5 %에 한함)"
마이딜액5%(미녹시딜),"· 남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료(2 %, 3 %에 한함) · 남성형 탈모증(안드로젠탈모증)의 치료(5 %에 한함)"
마이락스산(폴리에틸렌글리콜3350),변비
마이렉스정,○ 마그네슘 결핍으로 인한 근육 경련
마이메가100정,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통,어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염. - 각기 - 눈의 피로 - 뼈, 이의 발육불량 - 구루병의 예방"
마이메가플러스정,"1. 다음경우의 비타민 B1, B2, B6, C, D의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통,어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염. - 각기 - 눈의 피로 - 뼈, 이의 발육불량 - 구루병의 예방 3. 아연의 보급"
마이모닉액5%(미녹시딜),남성형 탈모증(안드로젠탈모증)의 치료
마이믹스정,"- 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. · 비타민D(농축콜레칼시페롤) 뼈, 이의 발육불량, 구루병의 예방 · 비타민 B6(피리독신염산염) 다음 증상의 완화: 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 · 비타민C(아스코르브산과립) 햇빛·피부병 등에 의한 색소 침착(기미, 주근깨)의 완화, 잇몸출혈·비출혈(코피) 예방"
마이보라정,피임
마이부틴정(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
마이비젯정,"○ 다음 경우의 비타민 D, E, B1, B2, B6, C의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기, 노년기 ○ 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 각기, 눈의 피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ○ 아연의 보급"
마이속정(탄산수소나트륨),"1) 다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다 2) 산증의 개선 요산배설의 촉진과 통풍발작의 예방"
마이안점안액(폴리데옥시리보뉴클레오티드나트륨)(1회용),"1) 영양부족으로 인한 각막, 결막의 궤양성 질환에 영양공급 2) 콘택트렌즈 착용 등으로 인한 각막, 결막의 미세손상"
마이어스콕골드정,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후의 체력저하시 - 발육기 - 노년기
마이올정,"· 변비 · 변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
마이칼디미니정,"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량, 구루병의 예방"
마이칼디정,"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량, 구루병의 예방"
마이칼에프정,"1. 다음경우의 비타민 D의 보급 - 임신ㆍ수유기, 발육기, 노년기 2. 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다 - 뼈, 이의 발육불량, 구루병의 예방 3. 칼슘결핍 및 기타 칼슘의 보급"
마이칼큐미니정,"1. 다음경우의 비타민 D의 보급 - 임신ㆍ수유기, 발육기, 노년기 2. 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다 - 뼈, 이의 발육불량, 구루병의 예방"
마이칼큐정,"1. 다음경우의 비타민 D의 보급 - 임신ㆍ수유기, 발육기, 노년기 2. 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다 - 뼈, 이의 발육불량, 구루병의 예방"
마이케어로션1%(히드로코르티손),"습진ㆍ피부염군, 피부가려움, 벌레물린데"
마이케어로션2.5%(히드로코르티손),"습진ㆍ피부염군, 피부가려움, 벌레물린데"
마이크로실드2액(클로르헥시딘글루콘산염),보건위생종사자의 손 소독
마이크로실드4액(글루콘산클로르헥시딘),"항균 피부 세정제로서, 일반 피부 및 상처부위 세정, 수술시 손소독, 개인의 손소독, 수술 전 수술부위 피부소독"
마이톡톡퓨어점안액(카르복시메틸셀룰로오스나트륨)(1회용),"눈의 건조 또는 바람·태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화"
마이파워정,"자양강장, 허약체질, 육체피로, 병중병후, 위장장해, 영양장해, 발열성소모성질환, 임신수유기 등의 경우의 영양보급"
마이펜엑스정,"신경통, 요통(허리통), 어깨결림"
마이펜이부400연질캡슐(이부프로펜),"1. 주효능 효과 - 감기로 인한 발열 및 동통(통증), 요통, 생리통, 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증) 2. 다음 질환에도 사용할 수 있다. - 두통, 편두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비늘증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염)"
마이픽정,피임
마크롱연질캡슐,"1. 다음 경우의 비타민 E 의 보급 - 노년기 2. 이 약에 함유된 비타민 등의 효능·효과는 다음과 같습니다. - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) - 마그네슘결핍으로 인한 근육경련"
마투탑플러스연질캡슐,"1. 다음 경우의 비타민 E, B1, B6 의 보급 - 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기 2. 이 약에 함유된 비타민 등의 효능·효과는 다음과 같습니다. - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기, 눈의피로 - 마그네슘결핍으로 인한 근육경련"
마틴정(수출용),"정맥류로 인한 다음 증상 : 하지(다리) 중압감, 정맥염 치핵과 관련된 여러 증상"
마파람과립,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
마파람쿨과립,"감기의 제증상(인후통, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
마플러스나잘스프레이,"코막힘(비염(코염)) 및 코(비)점막의 염증에 대한 보습, 세척"
마하펜연질캡슐(아세트아미노펜),"1. 주효능·효과 감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증) 2. 다음 질환에도 사용할 수 있다. 치통, 관절통, 류마티양 동통(통증)"
마하펜정500밀리그램(아세트아미노펜),"감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증) 치통, 관절통, 류마티양 동통(통증)"
말레부틴정(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
말릭스정(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
말릭스정(트리메부틴말레산염)(수출용),"1. 주효능 효과 1) 식도역류 및 열공헤르니아, 위·십이지장염, 위·십이지장궤양에 있어서의 소화기능 이상(복통, 소화불량, 구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환: 습관성 구토, 비감염성 장관통과장애(변비, 설사), 동요자극, 수면장애"
말부친정(말레인산트리메부틴)(수출용),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사), 동요자극, 수면장애"
말펜정(수출용),"감기로 인한 발열 및 동통, 치통 두통, 신경통, 근육통, 월경통, 관절통, 류마티스성 동통"
맘스폴릭정1000마이크로그램(폴산),"소모성 질환, 임부 및 수유부 1) 영양결핍성빈혈, 임신성빈혈, 소아빈혈 2) 항전간제 투여로 인한 빈혈"
맘스픽덱시펜시럽(덱시부프로펜),급성 상기도 감염으로 인한 발열시 해열
매가콤비타정,"○ 다음 경우의 비타민 A, B1, B2, B6, C, D, E의 보급 -육체피로 -임신·수유기 -병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 -발육기 -노년기 -이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. 1) 비타민A(건조레티놀아세테이트) ‧ 눈의 건조감의 완화 ‧ 야맹증(밤에 잘 못보는 증상) 2) 비타민D(콜레칼시페롤과립) ‧ 뼈, 이의 발육불량 ‧ 구루병의 예방 ○ 철 결핍성 빈혈의 예방 및 치료 ○ 아연의 보급"
매크란연질캡슐,"다음 경우의 비타민 A, E, C 의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 눈의 건조감의 완화 - 야맹증(밤에 잘 못보는 증상) - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) - 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화 - 잇몸출혈ㆍ비출혈(코피) 예방 - 아연의 보급"
맥널티아세트아미노펜시럽(수출용),"감기로 인한 발열 및 동통, 두통, 신경통, 근육통, 월경통, 염좌통 치통, 관절통, 류마티양 동통"
맥널티투씬시럽(구아이페네신)(수출용),"기침, 가래등 기관지 분비물 완화"
맥널티펩토비스몰현탁액(비스무트차살리실산염)(수출용),"- 설사 및 설사에 기인한 복통의 완화 - 변비를 수반하지 않는 소화불량 증상 (과식 및 과음에 의한 소화 장애, 가슴 쓰림, 오심 및 복부팽만감)의 완화"
맥덴타에프캡슐,"치주치료 후 치은염, 경·중등도 치주염의 보조치료"
맥비비정,"○ 다음 경우의 비타민 D, E, B1, B2, B6의 보급 - 육체피로 - 임신･수유기 - 병중･병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능․효과는 다음과 같다. ･ 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ･ 각기 ･ 눈의피로 ･ 뼈, 이의 발육불량 ･ 구루병의 예방 ○ 아연의 보급"
맥세렌디정,"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량 - 구루병의 예방"
맥세렌비제트정,- 육체피로 - 임신‧수유기 - 병중․병후(병을 앓는 동안이나 회복 후)의 체력저하시
맥셀디정,"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량 - 구루병의 예방"
맥스디1000연질캡슐,"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량 - 구루병의 예방"
맥스디800연질캡슐,"- 임신 ㆍ 수유기, 발육기, 노년기 - 뼈, 이의 발육불량 - 구루병의 예방"
맥스디스정,"- 임신ㆍ수유기, 발육기, 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. ㆍ 뼈, 이의 발육불량 ㆍ 구루병의 예방"
맥스디칼연질캡슐(수출용),"- 임신ㆍ수유기, 발육기, 노년기 - 뼈, 이의 발육불량 - 구루병의 예방"
맥스릴리프점안액(카르복시메틸셀룰로오스나트륨)(수출용),"눈의 건조감 완화 자극에서 눈을 보호 바람, 태양등의 노출로 인한 눈의 작열감, 자극감 및 불편함의 일시적 완화"
맥스원플러스연질캡슐,"- 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨.목결림, 수족저림.수족냉증(손발이 차가움) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) - 각기 - 눈의 피로"
맥스카인9.6%겔(리도카인),남성 성기 촉각의 예민성 감소
맥스케어베타정,"- 육체피로, 임신·수유기, 병중·병후의 체력 저하시, 발육기, 노년기 ㆍ비타민A"
맥스케어알파정,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 ㆍ 비타민 B1 ㆍ 비타민 B2,비타민 B6: 다음 증상의 완화 - 구각염(입꼬리염), 구순염(입술염), 구내염(입안 염), 설염(혀염), 습진, 피부염"
맥스케어액트정,"1. 다음 경우의 비타민 D, E, B1, B2, B6, C의 보급 - 육체피로 - 임신 · 수유기 - 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능 · 효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 각기 - 눈의피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리) 통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술 염), 구내염(입안염), 설염(혀염), 습진, 피부염 3. 아연의 보급"
맥스케어정,"○ 다음 경우의 비타민 E, B1, B2, B6, C의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 ○ 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬 리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기, 눈의 피로 ○ 아연의 보급"
맥스케어프리미엄정,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 ㆍ 비타민 B1 1) 다음 증상의 완화 -신경통, 근육통, 관절통(요(허리)통, 어깨결림 등) 2) 각기 3) 눈의 피로 ㆍ 비타민 B2,비타민 B6: 다음 증상의 완화 - 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
맥스케어헬씨큐정,"○ 다음 경우의 비타민 D, E, B1, B2, B6, C의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기, 노년기 ○ 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 각기, 눈의 피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ○ 아연의 보급"
맥스콘드로이틴1200경구용겔(콘드로이틴설페이트나트륨),경증(가벼운 증상)에서 중등도의 골(뼈)관절염(퇴행성관절염)
맥스콘비타그린연질캅셀(베트남수출용),2. 다음 경우의 비타민 B1보급  
맥스클리어점안액(카르복시메틸셀룰로오스나트륨)(1회용),"안구건조증이나 바람 ㆍ 태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감을 일시적으로 완화시킴, 안구 자극감을 예방하기 위하여 사용할 수 있다."
맥스클리어점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),"눈의 건조 또는 바람·태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화"
맥스타민메가맥스정,"○ 다음경우의 비타민 D, E, B1, B2, B6, C의 보급 - 육체피로 - 임신·수유기 - 병중·병후 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. • 뼈, 이의 발육불량 • 구루병의 예방 • 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 • 각기 • 눈의피로 ○ 아연의 보급"
맥스타민콘드로800정,"○ 다음 경우의 비타민 D, B1, B2, B6의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 ○ 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) - 각기, 눈의 피로"
맥스타민파워정,"○ 다음경우의 비타민 D, E, B1, B2, B6, C의 보급 ○ 아연의 보급"
맥스타민프리미엄정,"- 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시, 발육기, 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다."
맥스타제-에스정,"위산과다, 속쓰림, 위부불쾌감, 위부(상복부)팽만감, 체함, 구역, 구토, 위통, 신트림, 소화불량, 식욕감퇴(식욕부진), 과식, 소화촉진, 소화불량으로 인한 위부(상복부)팽만감"
맥스타제유디정,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림"
맥스텐정,"소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감."
맥스프로시럽(덱시부프로펜),급성 상기도 감염으로 인한 발열시 해열
맥스프로펜시럽(덱시부프로펜),급성 상기도 감염으로 인한 발열시 해열
맥시라민에이정,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능효과는 다음과 같다.
맥시부키즈시럽(덱시부프로펜),급성 상기도 감염으로 인한 발열시 해열
맥시펜시럽(덱시부프로펜),급성 상기도 감염으로 인한 발열시 해열
맥쎈연질캡슐(나프록센),"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건(힘줄)염, 급성통풍, 월경곤란증 활액낭염, 골격근장애(염좌(삠), 좌상, 외상, 요천통), 수술후 동통(통증), 편두통, 발치후 동통(통증)"
맥아트디정(수출용),편두통 증후의 치료
맥코이정,"(정제) 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 가스제거"
"맥코프시럽(딸기향, 바나나향)","기침, 가래, 콧물, 코막힘, 재채기"
맥타정,"다음 증상의 완화 요(허리)통, 수족저림, 신경통, 어깨ㆍ목 결림"
맥페롤에프연질캡슐,"- 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기, 눈의피로 - 마그네슘결핍으로 인한 근육경련"
"맥펜시럽(이부프로펜)(새콤한오렌지맛,감귤향)","류마티양 관절염, 연소성(어리거나 젊은나이에 나타나는) 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통(통증), 요(허리)통, 월경곤란증, 수술후 동통(통증) 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액낭염)"
맨뉴알파액,남성형 탈모증(안드로젠탈모증)의 치료
맨담듀오임팩카타플라스마,"다음 증상의 진통ㆍ소염[항염] : 타박상, 삠, 요[허리]통, 어깨결림, 근육통, 관절통"
맨담디클로엔플라스타(디클로페낙나트륨),"다음 질환 및 증상의 진통, 소염(항염) 1) 퇴행성 관절염(골관절염) 2) 어깨관절 주위염 3) 힘줄 및 힘줄윤활막염 4) 힘줄주위염 5) 위팔뼈상과염(테니스엘보 등) 6) 근육통(근, 근막성 요(허리)통증 등) 7) 외상(상처) 후 부기 및 통증"
맨담디클론첩부제(디클로페낙디에틸암모늄),"1) 변형성 관절염 2) 어깨관절 주위염 3) 힘줄염 ‧ 힘줄윤활막염 4) 건주위염 5) 상완골[위팔뼈]상과염(테니스엘보우 등) 6) 외상후의 부기, 통증(타박, 멍, 삠 등) 7) 근육통"
