품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
202402243,서흥에치피엠씨캡슐에스엘1호,Suheung HPMC Capsule #1SL,(주)서흥,"Suheung Co., Ltd.",,"염화마그네슘,염화칼륨,스테아르산칼슘,라우릴황산나트륨,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,히프로멜로오스,글리세린,비타민B2,폴리에틸렌글리콜,산화티탄,청색2호알루미늄레이크,산화철,시트르산,적색2호,치자황색소,홍화황색소,백당지방산에스테르,피로인산칼륨,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,카카오색소,적색202호,β-카로틴,탤크,적색 40호,카민,파텐트블루V,적색504호,적색225호,적색218호,코치닐추출색소,D-소르비톨액,옥수수전분,녹색3호,철클로로필린나트륨,소르비탄지방산에스테르,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199902042,서흥에치피엠씨캡슐엘롱게이트0호,Suheung HPMC Capsule #0 elongate,(주)서흥,"Suheung Co., Ltd.",,"염화마그네슘,염화칼륨,스테아르산칼슘,라우릴황산나트륨,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,히프로멜로오스,글리세린,비타민B2,폴리에틸렌글리콜,산화티탄,청색2호알루미늄레이크,산화철,시트르산,적색2호,치자황색소,홍화황색소,백당지방산에스테르,피로인산칼륨,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,카카오색소,적색202호,β-카로틴,탤크,적색 40호,카민,파텐트블루V,적색504호,적색225호,적색218호,코치닐추출색소,D-소르비톨액,옥수수전분,녹색3호,철클로로필린나트륨,소르비탄지방산에스테르,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
200402280,서흥에치피엠씨캡슐엘롱게이트00호,Suheung HPMC Capsule #00 elongate,(주)서흥,"Suheung Co., Ltd.",,"염화마그네슘,염화칼륨,스테아르산칼슘,라우릴황산나트륨,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,히프로멜로오스,글리세린,비타민B2,폴리에틸렌글리콜,산화티탄,청색2호알루미늄레이크,산화철,시트르산,적색2호,치자황색소,홍화황색소,백당지방산에스테르,피로인산칼륨,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,카카오색소,적색202호,β-카로틴,탤크,적색 40호,카민,파텐트블루V,적색504호,적색225호,적색218호,코치닐추출색소,D-소르비톨액,옥수수전분,녹색3호,철클로로필린나트륨,소르비탄지방산에스테르,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
201402134,서흥에치피엠씨캡슐엘롱게이트1호,Suheung HPMC Capsule #1 elongate,(주)서흥,"Suheung Co., Ltd.",,"염화마그네슘,염화칼륨,스테아르산칼슘,라우릴황산나트륨,적색3호,클로로필린구리나트륨착염,카라멜,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,히프로멜로오스,글리세린,황색4호,비타민B2,폴리에틸렌글리콜,산화티탄,청색2호알루미늄레이크,산화철,시트르산,적색2호,치자황색소,홍화황색소,백당지방산에스테르,피로인산칼륨,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,카카오색소,적색202호,β-카로틴,탤크,적색 40호,청색2호,카민,적색504호,적색225호,적색218호,코치닐추출색소,파텐트블루V,D-소르비톨액,옥수수전분,녹색3호,철클로로필린나트륨,소르비탄지방산에스테르,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
201802800,서흥캡슐000호,Suheung Capsule #000,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,클로로필린구리나트륨착염,카라멜,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199302029,서흥캡슐00호,Suheung Capsule #00,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,파텐트블루V,적색504호,적색225호,적색218호,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199001522,서흥캡슐0호,Suheung Capsule #0,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,글리세린,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199101878,서흥캡슐1호,Suheung Capsule #1,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199101879,서흥캡슐2호,Suheung Capsule #2,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,글리세린,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199101880,서흥캡슐3호,Suheung Capsule #3,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,글리세린,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,코치닐추출색소,카민,파텐트블루V,적색504호,적색225호,적색218호,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199101881,서흥캡슐4호,Suheung Capsule #4,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색4호(타르트라진),황색5호,청색2호(인디고카르민),치자청색소,파프리카추출색소,글리세린,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,코치닐추출색소,카민,파텐트블루V,적색504호,적색225호,적색218호,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,글리신,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
201402098,서흥캡슐5호,Suheung Capsule #5,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,클로로필린구리나트륨착염,카라멜,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
201402115,서흥캡슐에스엘1호,Suheung Capsule #1SL,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,클로로필린구리나트륨착염,카라멜,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,적색504호,적색225호,적색218호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
199101877,서흥캡슐엘롱게이트0호,Suheung Capsule #0 elongate,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,적색218호(테트라클로로테트라브로모플루오레세인),글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,적색104호의(1)(플록신B),탤크,적색 40호,청색2호,코치닐추출색소,카민,파텐트블루V,적색504호,적색225호,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
200402279,서흥캡슐엘롱게이트00호,Suheung Capsule #00 elongate,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,카라멜,클로로필린구리나트륨착염,적색102호,베지터블카본,적색104호(1),캔두린실버파인,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,적색202호,탤크,적색 40호,청색2호,코치닐추출색소,카민,파텐트블루V,적색504호,적색225호,적색218호,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,카모이신,적색227호,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
201402116,서흥캡슐엘롱게이트1호,Suheung Capsule #1 elongate,(주)서흥,"Suheung Co., Ltd.",,"라우릴황산나트륨,염화칼륨,스테아르산칼슘,적색3호,클로로필린구리나트륨착염,카라멜,적색102호,적색104호(1),캔두린실버파인,베지터블카본,펙틴,글루콘산칼슘,스테아르산,황색5호,치자청색소,파프리카추출색소,글리세린,황색4호,비타민B2,젤라틴,폴리에틸렌글리콜,시트르산,산화티탄,청색2호알루미늄레이크,산화철,치자황색소,홍화황색소,적색2호,백당지방산에스테르,아세트산 무수물,콜로이드성이산화규소,스테아르산마그네슘,β-카로틴,카카오색소,탤크,적색 40호,청색2호,코치닐추출색소,카민,적색504호,적색225호,파텐트블루V,소르비탄지방산에스테르,옥수수전분,녹색3호,철클로로필린나트륨,적색227호,카모이신,디아세틸레이티드모노글리세라이드,카라기난,정제수,황색 203호,청색1호,치자적색소",,일반의약품,,캡슐제 제제용
202401471,서흥코팅캡슐2호,Suheung EnP Capsule #2,(주)서흥,"Suheung Co., Ltd.",,"염화마그네슘,염화칼륨,스테아르산칼슘,라우릴황산나트륨,적색3호,카라멜,클로로필린구리나트륨착염,황색4호(타르트라진),황색5호,청색2호(인디고카르민),스테아르산,히프로멜로오스,글리세린,비타민B2,산화티탄,탄산수소나트륨,청색2호알루미늄레이크,산화철,아세트산 무수물,스테아르산마그네슘,카카오색소,탤크,적색 40호,카민,옥수수전분,히프로멜로오스프탈레이트,녹색3호,철클로로필린나트륨,소르비탄지방산에스테르,디아세틸레이티드모노글리세라이드,카라기난,에탄올,정제수,황색 203호,청색1호",,일반의약품,,캡슐제 제제용
202106961,설페린큐캡슐,Sulferin Q Cap.,(유)한풍제약,"HANPOONG PHARM. Co., Ltd.",아크리놀수화물/베르베린염화물수화물,"감초,오배자,현호색,스테아르산마그네슘,경질무수규산,스코폴리아 엑스,현초,산사,옥수수전분,작약,캡슐",,일반의약품,Acrinol Hydrate/Berberine Chloride Hydrate,"설사, 복통(배아픔)을 수반하는 설사, 체함, 묽은 변, 토사"
197300075,성광관장약,Sungkwang Enema,(주)퍼슨,"Firson Co., Ltd.",농글리세린,"벤잘코늄염화물액,정제수",,일반의약품,Concentrated Glycerin,"변비, 장내용물의 배설"
199100535,성광리도아가아제,Sungkwang Ridoar Gauze,(주)퍼슨,"Firson Co., Ltd.",리도카인/아크리놀수화물,"거즈,폴리소르베이트80,백색바셀린,소르비탄스테아레이트",,일반의약품,Lidocaine/Acrinol Hydrate,"외상, 화상, 창상면의 살균소독, 피복, 화농성 피부질환"
199600443,성광멸균바세린거즈(백색바셀린),Sterile Petrolatum Gauze 8g,(주)퍼슨,"Firson Co., Ltd.",백색바셀린,멸균거즈,,일반의약품,White Petrolatum, 경미한 화상 및 상처
201306132,성광아시클로버크림,Sungkwang Acyclovir Creaem,(주)퍼슨,"Firson Co., Ltd.",아시클로버,"프로필렌글리콜,스테아르산,카보머940,부틸레이티드히드록시톨루엔,토코페롤아세테이트,소르비탄세스퀴올레에이트,디메치콘,메틸파라벤,트롤아민,프로필파라벤,에데트산나트륨수화물,세탄올,폴리소르베이트60,친유형글리세릴스테아레이트,트리옥타노인,유동파라핀,정제수",,일반의약품,Acyclovir,단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순(입술)포진(물집)포함)
199600446,성광알파헥시딘5%액(글루콘산클로르헥시딘액),Alfahexidine Solution 5%,(주)퍼슨,"Firson Co., Ltd.",글루콘산클로르헥시딘액,"폴리소르베이트80,이소프로필알콜,라벤다향,식약청인정타르색소,정제수",,일반의약품,Chlorhexidine Gluconate Solution,"- 손 및 피부의 소독(보건위생종사자 및 수술 시 수술자의 손 소독, 수술부위 피부의 소독은 제외) - 의료용구의 소독 - 가구, 기구 등의 소독 - 피부의 창상부위 소독"
200100454,성광알파헥시딘가글액(글루콘산클로르헥시딘액),Alpha-Hexidine Gargle Sungkwang,(주)퍼슨,"Firson Co., Ltd.",글루콘산클로르헥시딘액,"에탄올(95),효소처리스테비아,폴리옥시에틸렌경화피마자유,박하유후레바비-2115,농글리세린,정제수",,일반의약품,Chlorhexidine Gluconate Solution,"다음 질환에 의한 염증의 완화 : 보철(의치)에 의한 염증, 아구창 등의 구강내 칸디다감염증, 치은염, 인두염, 아프타성 구내염 치근막 수술 후 살균소독"
200300337,성광티눈액,Sungkwang Tinun Sol.,(주)퍼슨,"Firson Co., Ltd.",살리실산/락트산,"아세톤,피록실린",,일반의약품,Salicylic Acid/Lactic Acid,"티눈, 못(굳은살)"
199900422,성광포비딘(포비돈요오드액10%),Sungkwang Povidin,(주)퍼슨,"Firson Co., Ltd.",포비돈요오드,"수산화나트륨,글리세린,인산이수소나트륨,노녹시놀9,시트르산나트륨수화물,정제수",,일반의약품,Povidone Iodine,"- 찢긴 상처, 화상, 창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
199900420,성광포스틱스왑액(포비돈요오드),Sungkwang Postick Swab SOL.,(주)퍼슨,"Firson Co., Ltd.",포비돈 요오드/포비돈요오드,"수산화나트륨,글리세린,인산이수소나트륨,탈지면,노녹시놀9,시트르산나트륨수화물,정제수",,일반의약품,Povidone Iodine,"- 찢긴상처, 화상 ,창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
197600539,세가톤트로키(염화세칠피리디늄),Cegaton Troche,알파제약(주),"Alpha Pharm. Co., Ltd.",염화세칠피리디늄,"ℓ- 멘톨,황색4호,백당,물엿",,일반의약품,Cetylpyridinium Chloride Hydrate,"다음 질환에 의한 염증의 완화 : 인두염, 편도염, 구내염 구강내 살균소독"
198401161,세나서트2밀리그람질정,Cenasert Vaginal Tablet 2mg,알보젠코리아(주),"Alvogen Korea Co., Ltd.",9-아미노아크리딘 운데실렌산/N-미리스틸-3-하이드록시부틸아민염산염/염화메틸벤제토늄,"유당수화물,젤라틴,호박산,스테아르산마그네슘,탤크,미결정셀룰로오스(Avicel101),옥수수전분,전분글리콜산나트륨,황산칼륨",,일반의약품,9-Aminoacridine Undecylenate/N-Myristyl-3-Hydroxybutylamine Hydrochloride/Methylbenzethonium Chloride Hydrate,세균성질증
201908050,세나쿨시럽,,(주)텔콘알에프제약,telconRF pharmaceutical company,아세트아미노펜/클로르페니라민말레산염/덱스트로메토르판브롬화수소산염수화물/DL-메틸에페드린염산염,"벤조산나트륨,시트르산수화물,딸기향(47),프로필렌글리콜,딸기향(3104145),메틸파라벤,D-소르비톨 액,고과당,백당,수크랄로스,시트르산나트륨수화물,아세설팜칼륨,정제수",,일반의약품,Acetaminophen/Chlorpheniramine Maleate/Dextromethorphan Hydrobromide Hydrate/DL-Methylephedrine Hydrochloride,"감기의 제증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통의 완화"
202301122,세나트리플질연질캡슐,Cena-triple vaginal soft capsule,알보젠코리아(주),"Alvogen Korea Co., Ltd.",니푸라텔/니스타틴,"중쇄트리글리세리드,디메티콘100,글리세린,황색산화철E172,젤라틴,이산화티탄",,일반의약품,Nifuratel/Nystatin,"칸디다균, 트리코모나스, 세균 외음부 질염"
201210143,세네풀에스액,Senepul S Solution,(주)퍼슨,"Firson Co., Ltd.",클로르페니라민말레산염/디부카인염산염/나파졸린염산염/벤잘코늄염화물 액,"에탄올(95),L-멘톨,정제수",,일반의약품,Chlorpheniramine Maleate/Dibucaine Hydrochloride/Naphazoline Hydrochloride/Benzalkonium Chloride Solution,"베인상처, 창상(상처), 긁힌 상처면의 살균소독, 치질의 경우 항문 살균소독"
201906400,세노바퀵연질캡슐(세티리진염산염),Cenova Quick Soft Cap.(Cetirizine HCl),일동제약(주),"Ildong Pharmaceutical Co., Ltd.",세티리진염산염,"프로필렌글리콜,적색3호,폴리에틸렌글리콜400,수산화칼륨,에틸바닐린,숙신산젤라틴,포비돈,부분탈수유동소르비톨,정제수,청색1호",,일반의약품,Cetirizine Hydrochloride,"계절성 및 다년성 알레르기성 비염(코염), 알레르기성 결막염, 만성 특발성(원인불명의) 두드러기, 피부 소양증(가려움증)"
201507403,세노비아에프정,Cenovia F Tablet,(주)한국파비스제약,"Pharvis Korea co., Ltd.",도큐세이트나트륨/센나엽가루/비사코딜,"오파드라이화이트03B28796,미결정셀룰로오스,아크릴이즈93O41049그린,유당수화물,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,히드록시프로필셀룰로오스",,일반의약품,Docusate Sodium/Senna Leaf Powder/Bisacodyl,"ㆍ변비 ㆍ변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
202400560,세노즈이지액(세티리진염산염),Senoz Easy-Solution,한국신텍스제약(주),KOREA SYNTEX PHARMACEUTICAL,세티리진염산염,"벤조산나트륨,시트르산수화물,글리세린,D-소르비톨 액,백당,시트르산나트륨수화물,정제수",,일반의약품,Cetirizine Hydrochloride,"계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부소양증"
201700502,세다큐노즈연질캡슐,SEDAQ nose Soft Capsule.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",아세트아미노펜/슈도에페드린염산염/dl-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/트리프롤리딘염산염수화물,"프로필렌글리콜,심황색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액",,일반의약품,Acetaminophen/Pseudoephedrine Hydrochloride/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Triprolidine Hydrochloride Hydrate,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
201700500,세다큐코프연질캡슐,SEDAQ cough Soft Capsule.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",아세트아미노펜/구아이페네신/노스카핀염산염수화물/덱스트로메토르판브롬화수소산염수화물/트리프롤리딘염산염수화물,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액",,일반의약품,Acetaminophen/Guaifenesin/Noscapine Hydrochloride Hydrate/Dextromethorphan Hydrobromide Hydrate/Triprolidine Hydrochloride Hydrate,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
201700501,세다큐콜드연질캡슐,SEDAQ col Soft Capsule.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",아세트아미노펜/구아이페네신/슈도에페드린염산염/dl-메틸에페드린염산염/덱스트로메토르판브롬화수소산염수화물/트리프롤리딘염산염수화물,"프로필렌글리콜,폴리에틸렌글리콜400,젤라틴,포비돈,안나토색소,정제수,소르비톨 소르비탄액",,일반의약품,Acetaminophen/Guaifenesin/Pseudoephedrine Hydrochloride/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Triprolidine Hydrochloride Hydrate,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
202000133,"세라코프시럽(딸기향, 바나나향)",,(주)텔콘알에프제약,telconRF pharmaceutical company,슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/구아이페네신,"시트르산수화물,딸기향(47),바나나엣센스에스,메틸파라벤,자일리톨,프로필파라벤,백당,수크랄로스,시트르산나트륨수화물,아세설팜칼륨,정제수",,일반의약품,Pseudoephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Guaifenesin,"기침, 가래, 콧물, 코막힘, 재채기"
199901516,세란드정(알마게이트),Serand Tab.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",알마게이트,"스테아르산마그네슘,카르복시메틸셀룰로오스칼슘",,일반의약품,Almagate,"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
199102384,세록센정(나프록센나트륨),Ceroxen Tab. 275mg,영풍제약(주),"Young Poong Pharmaceutical Co., Ltd.",나프록센나트륨,"미결정셀룰로오스,히프로멜로오스,폴리에틸렌글리콜400,유당수화물,산화티탄,스테아르산마그네슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Naproxen Sodium,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염, 급성통풍, 월경곤란증 활액낭염, 골격근장애(염좌, 좌상, 외상, 요천통), 수술후 동통, 편두 통, 발치후 동통"
